timestamp,buyer,seller,symbol,currency,price,quantity,day_from_file
0,-,-,KELP,SEASHELLS,2002.0,1,-2
0,-,-,RAINFOREST_RESIN,SEASHELLS,9996.0,1,-2
0,-,-,RAINFOREST_RESIN,SEASHELLS,9996.0,1,-2
0,-,-,SQUID_INK,SEASHELLS,2002.0,1,-2
100,-,-,KELP,SEASHELLS,2002.0,6,-2
100,-,-,SQUID_INK,SEASHELLS,2001.0,6,-2
1000,-,-,KELP,SEASHELLS,1999.0,10,-2
1000,-,-,SQUID_INK,SEASHELLS,1999.0,10,-2
1100,-,-,KELP,SEASHELLS,1999.0,1,-2
1100,-,-,SQUID_INK,SEASHELLS,1999.0,1,-2
1500,-,-,KELP,SEASHELLS,2002.0,1,-2
1500,-,-,RAINFOREST_RESIN,SEASHELLS,10004.0,1,-2
1500,-,-,SQUID_INK,SEASHELLS,2000.0,1,-2
1800,-,-,KELP,SEASHELLS,2001.0,1,-2
1800,-,-,KELP,SEASHELLS,2001.0,1,-2
1800,-,-,SQUID_INK,SEASHELLS,2000.0,1,-2
1800,-,-,SQUID_INK,SEASHELLS,1999.0,1,-2
2000,-,-,KELP,SEASHELLS,2001.0,1,-2
2000,-,-,SQUID_INK,SEASHELLS,2001.0,1,-2
2100,-,-,SQUID_INK,SEASHELLS,2001.0,4,-2
2500,-,-,KELP,SEASHELLS,1999.0,11,-2
2500,-,-,RAINFOREST_RESIN,SEASHELLS,9998.0,1,-2
2500,-,-,SQUID_INK,SEASHELLS,1999.0,11,-2
3200,-,-,KELP,SEASHELLS,1998.0,1,-2
3200,-,-,RAINFOREST_RESIN,SEASHELLS,9996.0,1,-2
3200,-,-,SQUID_INK,SEASHELLS,1999.0,1,-2
3300,-,-,KELP,SEASHELLS,1999.0,2,-2
3300,-,-,RAINFOREST_RESIN,SEASHELLS,9995.0,2,-2
3300,-,-,SQUID_INK,SEASHELLS,1999.0,2,-2
3600,-,-,RAINFOREST_RESIN,SEASHELLS,10005.0,6,-2
3900,-,-,KELP,SEASHELLS,2001.0,1,-2
3900,-,-,SQUID_INK,SEASHELLS,2002.0,1,-2
4000,-,-,RAINFOREST_RESIN,SEASHELLS,9998.0,1,-2
4200,-,-,KELP,SEASHELLS,1999.0,1,-2
